effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,dev_stage,concentration,n_int,mean_int,sd_int,overall_rob
1,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_001,time_in_social,direct,Control,15,322.0345,126.3270343,Ethanol,Adult,0.1,15,254.207,193.1456795,Low
2,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_001,time_in_social,direct,Control,15,322.0345,126.3270343,Ethanol,Adult,0.5,15,263.305,196.7146336,Low
3,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_002,time_in_social,direct,Control,15,498.4325,82.95543029,Ethanol,Adult,0.1,15,222.1435,212.5241516,Low
4,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_002,time_in_social,direct,Control,15,498.4325,82.95543029,Ethanol,Adult,0.5,15,240.675,184.5573389,Low
5,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,Embryo,0.1,8,221.662,82.55330249,High
6,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,Embryo,0.25,8,162.0675,34.51671042,High
7,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,Embryo,0.5,8,68.482,46.64076329,High
8,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,Embryo,0.1,8,88.523,59.01371774,High
9,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,Embryo,0.25,20,-11.3635,14.00225768,High
10,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,Embryo,0.5,21,-8.3425,14.79026306,High
11,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,Embryo,0.75,21,-8.3425,13.90811723,High
12,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,Embryo,1,19,-2.8615,14.12283258,High
13,Ethanol,Fernandes_2015_A,Fernandes_2015_A_exp_001,distance_to_social_delta,indirect,Control,26,-8.175,8.38533759,Ethanol,Embryo,1,17,-2.4425,6.827862916,Low
14,Ethanol,Fernandes_2015_B,Fernandes_2015_B_exp_001,distance_to_social_delta,indirect,Control,29,-12.3555,8.831670284,Ethanol,Embryo,0.5,30,-8.5675,11.73221718,High
15,Ethanol,Fernandes_2015_B,Fernandes_2015_B_exp_001,distance_to_social_delta,indirect,Control,29,-12.3555,8.831670284,Ethanol,Embryo,1,29,-2.6315,9.531741709,High
16,Ethanol,Fernandes_2018,Fernandes_2018_exp_001,time_in_social,direct,Control,12,68.901,25.93572879,Ethanol,Embryo,1,12,31.7315,23.74641657,Low
17,Ethanol,Fernandes_2018,Fernandes_2018_exp_001,time_in_social,direct,Control,12,68.901,25.93572879,Ethanol,Embryo,1.5,11,38.5865,21.73550056,Low
18,Ethanol,Fontana_2018,Fontana_2018_exp_001,time_in_social,direct,Control,10,88.92478,19.73862421,Ethanol,Adult,0.25,10,73.91165,34.79546312,High
19,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,Adult,0.25,9,46.16,40.659,Low
20,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,Adult,0.5,6,23.22,31.78702839,Low
21,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,Adult,1,9,27.5205,19.758,Low
22,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,Adult,0.25,9,45.8985,41.3835,Low
23,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,Adult,0.5,6,23.441,30.627195,Low
24,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,Adult,1,9,27.25,20.553,Low
25,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,Adult,0.25,15,9.421,11.35946015,Low
26,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,Adult,0.5,11,11.8455,12.37266878,Low
27,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,Adult,1,15,10.5865,13.68905964,Low
28,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,Adult,0.25,12,18.253,16.17215839,Low
29,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,Adult,0.5,14,16.2335,16.53999648,Low
30,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,Adult,1,15,9.2685,13.03839844,Low
31,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,Adult,0.25,15,16.181,18.86336539,Low
32,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,Adult,0.5,14,22.249,21.16468501,Low
33,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,Adult,1,13,16.7175,25.55975299,Low
34,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,Adult,0.25,15,10.4445,13.12747705,Low
35,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,Adult,0.5,10,10.967,7.570492718,Low
36,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,Adult,1,11,12.184,8.656390703,Low
37,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,Adult,0.25,13,-17.6215,10.53361805,Low
38,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,Adult,0.5,18,-14.012,7.47341157,Low
39,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,Adult,1,16,-3.2975,15.298,Low
40,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,Adult,0.5,15,-1.1345,12.84474927,Low
41,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,Adult,0.25,15,-7.0385,13.75877334,Low
42,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,Adult,0.5,17,-9.9035,10.63142786,Low
43,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,Adult,1,14,-5.2725,6.5722212,Low
44,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,Adult,0.5,14,-10.5995,9.385947555,Low
45,Ethanol,Lutte_2020,Lutte_2020_exp_001,time_in_social,direct,Control,10,265.4205,22.642,Ethanol,Embryo,1,10,212.419,47.4615,Low
46,Ethanol,Lutte_2020,Lutte_2020_exp_001,time_in_social,direct,Control,10,265.4205,22.642,Ethanol,Embryo,1,10,188.827,14.6895,Low
47,Ethanol,Lutte_2020,Lutte_2020_exp_002,time_in_social,direct,Control,10,210.9015,34.5725,Ethanol,Embryo,1,10,250.729,35.1905,Low
48,Ethanol,Lutte_2020,Lutte_2020_exp_002,time_in_social,direct,Control,10,210.9015,34.5725,Ethanol,Embryo,1,10,240.739,30.881,Low
49,Ethanol,Parker_2014,Parker_2014_exp_001,time_in_social,direct,Control,33,1064.774,134.1527715,Ethanol,Embryo,0.12,30,941.8495,243.9802746,Low
50,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,Adult,0.25,20,-16.252,9.33111167,Low
51,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,Adult,0.5,20,-10.886,9.662049731,Low
52,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,Adult,1,19,-4.2065,7.46679389,Low
53,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,Adult,0.25,20,-11.792,10.99474625,Low
54,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,Adult,0.5,20,-11.5235,10.35075867,Low
55,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,Adult,1,20,-2.5555,8.588737102,Low